17-A-bug-15278247-15278302,10,24,20,16,13,67,45,2,2,autogen,????,0.926,,,
17-A-bug-6612498-6612508,10,114,20,0,0,42,40,4,2,autogen,TIMEOUT,10m,,,
17-A-bug-8358953-8359086,10,24,20,18,13,67,30,2,2,autogen,TIMEOUT,10m,,,
17-A-bug-9594458-9594472,10,86,20,0,0,43,36,5,5,autogen,????,2.165,,,
171-A-bug-15452830-15452852,10,72,20,15,9,48,48,2,2,autogen,NOREPAIR,372.498,,,
171-A-bug-17173445-17173460,10,23,20,23,16,45,33,45,33,autogen,????,0.466,,,
171-B-bug-1458594-1458980,10,23,20,23,16,41,10,40,10,autogen,NOREPAIR,11.454,,,
171-B-bug-1463121-1463124,10,184,20,62,14,49,42,9,2,autogen,NOREPAIR,11.102,,,
171-B-bug-14762016-14762649,10,99,20,38,13,44,12,38,6,autogen,NOREPAIR,436.421,,,
171-B-bug-1903679-1903682,10,22,20,22,16,42,39,42,39,autogen,NOREPAIR,15.010,,,
171-B-bug-1996186-1996190,10,27,20,26,15,42,11,39,8,autogen,NOREPAIR,11.343,,,
171-B-bug-1996188-1996190,10,38,20,35,15,42,28,41,27,autogen,NOREPAIR,11.247,,,
171-D-bug-15495798-15495818,10,9513,6,18,0,9,8,3,2,autogen,NOREPAIR,4.507,,,
171-D-bug-15508628-15508642,10,241,20,2,2,9,9,2,2,autogen,NOREPAIR,72.582,,,
171-D-bug-5093365-5093369,10,4592,20,8,4,9,9,2,2,autogen,NOREPAIR,7.871,,,
171-D-bug-6192796-6192802,10,2608,20,25,11,6,6,2,2,autogen,NOREPAIR,68.796,,,
172-B-bug-1470030-1470076,10,23,20,22,15,66,43,43,43,autogen,????,0.484,,,
172-B-bug-2096087-2096089,10,27,20,4,2,60,51,6,5,autogen,????,0.617,,,
172-B-bug-5785935-5785981,10,20,20,13,11,66,40,6,4,autogen,????,0.392,,,
177-B1-bug-13511622-13511662,10,59,20,9,5,34,15,7,6,autogen,NOREPAIR,343.284,,,
177-B1-bug-3817879-3817882,10,39,20,23,13,34,22,7,5,autogen,NOREPAIR,339.184,,,
177-B2-bug-1597105-1597275,10,112,20,3,1,83,73,3,2,autogen,TIMEOUT,10m,,,
18-B-bug-15989356-15989429,10,49,20,7,3,45,10,12,5,autogen,????,50.584,,,
185-A-bug-1914012-1914022,10,89,20,32,11,52,44,21,13,autogen,NOREPAIR,432.813,,,
189-A-bug-17294544-17294560,10,38,20,22,8,65,15,12,5,autogen,????,0.556,,,
189-A-bug-18155547-18155577,10,32,20,13,7,63,43,43,32,autogen,????,1.206,,,
189-B-bug-1682083-1682218,10,66,20,29,12,31,11,22,2,autogen,????,17.566,,,
189-B-bug-17295034-17295064,10,29,20,20,13,30,11,21,2,autogen,VERIFICATIONFAILED,467.598,,,
189-B-bug-1813700-1813718,10,58,20,37,13,27,16,13,3,autogen,????,0.590,,,
189-B-bug-18252831-18252846,10,45,20,28,10,30,20,9,9,autogen,NOREPAIR,14.268,,,
194-A-bug-13226735-13226747,10,26,20,14,10,44,42,19,17,autogen,NOREPAIR,26.577,,,
194-A-bug-15491486-15491518,10,532,20,6,1,43,29,14,2,autogen,NOREPAIR,30.360,,,
194-A-bug-7939649-7939655,10,42,20,18,8,44,27,19,3,autogen,NOREPAIR,10.916,,,
198-A-bug-9617580-9617604,10,116,20,2,2,125,89,20,2,autogen,????,50.342,,,
198-A-bug-9623083-9623097,10,54,20,0,0,125,104,20,4,autogen,NOREPAIR,344.331,,,
198-A-bug-9624645-9624725,10,34,20,4,4,189,164,13,6,autogen,NOREPAIR,61.515,,,
198-A-bug-9683801-9684235,10,43,20,1,1,125,103,20,3,autogen,????,52.015,,,
198-A-bug-9705111-9705146,10,71,20,4,1,125,102,26,3,autogen,????,50.726,,,
201-A-bug-15335569-15335588,10,3039,20,1534,11,109,107,2,2,autogen,NOREPAIR,478.803,,,
201-A-bug-1881498-1881520,10,7865,20,22,10,107,107,2,2,autogen,NOREPAIR,198.631,,,
201-A-bug-1881517-1881520,10,2002,20,230,5,104,83,22,2,autogen,NOREPAIR,233.904,,,
202-C-bug-1847611-1847612,10,344,20,3,4,107,107,2,2,autogen,NOREPAIR,167.279,,,
203-A-bug-16588171-16589375,10,37,20,0,0,95,86,3,2,autogen,VERIFICATIONFAILED,56.553,,,
203-A-bug-8218947-8218974,10,32,20,9,7,54,36,16,14,autogen,????,0.796,,,
204-A-bug-10222131-10222140,10,31,20,23,13,69,52,31,16,autogen,TIMEOUT,10m,,,
204-A-bug-1996403-1996411,10,41,20,9,5,76,14,3,3,autogen,TIMEOUT,10m,,,
204-A-bug-2022696-2022698,10,269,20,22,2,72,64,10,2,autogen,TIMEOUT,10m,,,
214-A-bug-15257318-15257535,10,69,20,0,1,66,32,2,2,autogen,NOREPAIR,518.619,,,
214-A-bug-15386379-15386411,10,71,20,0,0,66,32,2,2,autogen,TIMEOUT,10m,,,
214-A-bug-16587662-16587713,10,144,20,0,0,58,29,4,4,autogen,NOREPAIR,357.155,,,
214-A-bug-17293419-17293448,10,2962,20,22,14,66,66,2,2,autogen,VERIFICATIONFAILED,58.027,,,
