168-A-bug-14356496-14356592,10,27,20,13,13,46,34,13,13,manual,NOREPAIR,31,,,,autogen,NOREPAIR,78,,,
168-A-bug-14356546-14356571,10,33,20,17,15,46,41,15,11,manual,NOREPAIR,37,,,,autogen,NOREPAIR,46,,,
168-A-bug-15592675-15592693,10,29,20,15,15,47,36,13,12,manual,NOREPAIR,65,,,,autogen,NOREPAIR,123,,,
168-A-bug-16455797-16455811,10,20,20,20,20,46,46,46,46,manual,NOREPAIR,59,,,,autogen,NOREPAIR,37,,,
168-A-bug-16670410-16670443,10,27,20,17,12,47,36,13,7,manual,NOREPAIR,54,,,,autogen,NOREPAIR,144,,,
168-A-bug-17083755-17083776,10,26,20,17,16,47,39,13,12,manual,NOREPAIR,5,,,,autogen,NOREPAIR,31,,,
168-A-bug-9305925-9305966,10,75,20,7,5,84,57,2,2,manual,NOREPAIR,36,,,,autogen,NOREPAIR,71,,,
17-A-bug-12616724-12616752,10,130,20,3,3,49,42,8,5,manual,REPAIR,549,17,35,35,autogen,NOREPAIR,16,,,
17-A-bug-13897450-13897498,10,33,20,20,17,67,52,4,4,manual,NOREPAIR,102,,,,autogen,NOREPAIR,889,,,
17-A-bug-15278247-15278302,10,24,20,14,14,67,53,2,2,manual,TIMEOUT,0,,,,autogen,NOREPAIR,0,,,
17-A-bug-6612498-6612508,10,850,20,0,0,42,40,4,2,manual,REPAIR,44,20,35,35,autogen,REPAIR,519,35,35,35
17-A-bug-8358953-8359086,10,25,20,17,16,67,4,2,2,manual,NOREPAIR,457,,,,autogen,NOREPAIR,2969,,,
17-A-bug-9594458-9594472,10,3864,20,24,0,43,40,5,2,manual,REPAIR,723,33,35,35,autogen,NOREPAIR,784,,,
171-A-bug-15452830-15452852,10,61,20,20,6,48,48,2,2,manual,REPAIR,45,41,41,41,autogen,NOREPAIR,172,,,
171-A-bug-17173445-17173460,10,20,20,20,20,45,45,45,45,manual,NOREPAIR,369,,,,autogen,NOREPAIR,561,,,
171-B-bug-1458594-1458980,10,20,20,19,19,41,40,40,40,manual,NOREPAIR,27,,,,autogen,NOREPAIR,88,,,
171-B-bug-1463121-1463124,10,41,20,18,15,49,48,9,8,manual,NOREPAIR,28,,,,autogen,NOREPAIR,84,,,
171-B-bug-14762016-14762649,10,50,20,21,14,44,44,38,38,manual,NOREPAIR,372,,,,autogen,NOREPAIR,412,,,
171-B-bug-1903679-1903682,10,20,20,20,20,42,42,42,42,manual,NOREPAIR,48,,,,autogen,NOREPAIR,54,,,
171-B-bug-1996186-1996190,10,20,20,18,18,42,42,39,39,manual,NOREPAIR,31,,,,autogen,NOREPAIR,86,,,
171-B-bug-1996188-1996190,10,20,20,19,19,42,34,41,33,manual,NOREPAIR,31,,,,autogen,NOREPAIR,87,,,
171-D-bug-15495798-15495818,10,4810,20,7,7,9,9,2,2,manual,NOREPAIR,31,,,,autogen,NOREPAIR,77,,,
171-D-bug-15508628-15508642,10,3516,20,6,6,9,9,2,2,manual,NOREPAIR,32,,,,autogen,REPAIR,134,3,3,3
