118-D-bug-6014277-6014404,10,451,20,19,16,47,47,10,10,autogen,NOREPAIR,576,,,
118-D-bug-6014278-6014404,10,297,20,19,16,47,45,10,8,autogen,NOREPAIR,598,,,
118-D-bug-746182-746641,10,198,20,20,17,47,45,10,8,autogen,NOREPAIR,37,,,
118-D-bug-989663-989669,10,270,20,21,16,47,47,10,10,autogen,NOREPAIR,536,,,
118-D-bug-989666-989669,10,187,20,22,11,46,41,16,14,autogen,NOREPAIR,62,,,
119-A-bug-16521182-16521266,10,44,20,5,4,49,32,12,6,autogen,TIMEOUT,0,,,
119-A-bug-16665499-16665611,10,55,20,15,9,48,35,14,4,autogen,NOREPAIR,640,,,
121-C-bug-804156-804907,10,2256,11,2,2,68,66,3,2,autogen,TIMEOUT,0,,,
122-A-bug-17968034-17968373,10,2291,10,72,2,62,60,4,2,autogen,TIMEOUT,0,,,
122-A-bug-18015599-18015631,10,2266,7,26,1,44,44,3,3,autogen,NOREPAIR,15,,,
122-A-bug-18026330-18026493,10,1138,20,165,6,40,28,15,3,autogen,NOREPAIR,16,,,
122-A-bug-18122874-18122948,10,2166,13,73,3,40,37,7,4,autogen,NOREPAIR,31,,,
122-A-bug-18122909-18122948,10,2203,12,49,7,69,67,4,2,autogen,NOREPAIR,30,,,
122-A-bug-18209616-18209912,10,2292,6,8,1,44,41,6,3,autogen,REPAIR,19,32,36,36
122-A-bug-18209760-18209912,10,2276,4,6,0,44,41,6,3,autogen,REPAIR,21,33,36,36
122-A-bug-18209773-18209912,10,2205,9,1,0,62,60,4,2,autogen,REPAIR,22,34,36,36
122-A-bug-18230727-18230742,10,24,20,15,14,40,18,13,13,autogen,NOREPAIR,4,,,
122-A-bug-18280368-18280476,10,2302,9,44,3,62,60,4,2,autogen,REPAIR,651,34,36,36
122-C-bug-8904375-8904400,10,29,20,14,14,43,34,29,29,autogen,NOREPAIR,285,,,
124-A-bug-16748308-16749061,10,20,20,20,20,54,32,32,32,autogen,NOREPAIR,40,,,
124-A-bug-17030725-17030795,10,31,20,15,13,55,39,30,30,autogen,NOREPAIR,68,,,
124-A-bug-17030750-17030795,10,47,20,24,17,53,22,34,5,autogen,NOREPAIR,245,,,
124-A-bug-17380518-17380581,10,38,20,20,17,55,27,16,16,autogen,NOREPAIR,16,,,
124-A-bug-17548415-17548499,10,40,20,21,16,55,40,16,13,autogen,NOREPAIR,16,,,
124-A-bug-17684079-17684114,10,34,20,16,14,55,29,16,10,autogen,NOREPAIR,18,,,
124-A-bug-18071122-18071213,10,20,20,20,20,53,47,47,47,autogen,NOREPAIR,25,,,
124-A-bug-18216134-18216197,10,31,20,17,16,53,36,35,33,autogen,NOREPAIR,50,,,
129-E-bug-7156869-7156872,10,375,20,49,18,66,50,29,13,autogen,NOREPAIR,0,,,
131-C-bug-7900700-7900757,10,105,20,29,14,47,23,26,4,autogen,TIMEOUT,0,,,
131-C-bug-8286919-8286937,10,30,20,13,13,47,28,26,7,autogen,TIMEOUT,0,,,
136-B-bug-3414703-3414706,10,20,20,16,16,105,101,101,101,autogen,NOREPAIR,338,,,
140-A-bug-10658248-10658284,10,57,20,7,7,54,54,2,2,autogen,NOREPAIR,9,,,
140-A-bug-13617983-13618000,10,379,20,2,1,52,52,2,2,autogen,NOREPAIR,14,,,
