492-A-bug-18295098-18295112,10,1685,20,137,6,28,22,9,3,autogen,REPAIR,9,25,25,25
495-A-bug-11531225-11531240,10,56,20,32,17,43,39,11,7,autogen,NOREPAIR,25,,,
495-A-bug-11534750-11534818,10,336,20,49,7,42,33,5,2,autogen,NOREPAIR,234,,,
495-A-bug-12401275-12401288,10,138,20,35,7,42,6,4,4,autogen,NOREPAIR,76,,,
495-A-bug-12974475-12974513,10,28,20,8,6,38,11,2,0,autogen,NOREPAIR,38,,,
495-A-bug-13407847-13407860,10,65,20,26,16,39,37,2,0,autogen,NOREPAIR,20,,,
495-A-bug-13482184-13482216,10,106,20,37,18,43,38,5,0,autogen,NOREPAIR,77,,,
495-A-bug-13892979-13893027,10,616,20,16,15,35,35,4,4,autogen,NOREPAIR,19,,,
495-A-bug-14303444-14303452,10,325,20,133,7,34,29,5,3,autogen,NOREPAIR,929,,,
495-A-bug-14310369-14310475,10,75,20,32,18,34,25,9,0,autogen,NOREPAIR,381,,,
495-A-bug-14675479-14675501,10,77,20,34,18,43,38,5,0,autogen,NOREPAIR,28,,,
495-A-bug-14848743-14848797,10,76,20,42,16,39,33,6,0,autogen,NOREPAIR,360,,,
495-A-bug-14848767-14848797,10,119,20,49,9,43,34,5,3,autogen,NOREPAIR,360,,,
495-A-bug-15516089-15516124,10,45,20,31,13,33,30,30,30,autogen,NOREPAIR,14,,,
495-A-bug-15516107-15516124,10,20,20,19,18,33,30,30,30,autogen,NOREPAIR,17,,,
50-A-bug-18056138-18056209,10,15665,4,4555,1,49,46,5,2,autogen,NOREPAIR,23,,,
50-A-bug-18220815-18220839,10,14202,5,647,2,38,26,14,2,autogen,REPAIR,19,28,35,35
50-A-bug-18220832-18220839,10,14315,4,604,2,41,35,8,2,autogen,REPAIR,9,35,35,35
507-B-bug-15775634-15775828,10,20,20,20,20,41,34,34,34,autogen,NOREPAIR,16,,,
507-B-bug-15775687-15775828,10,25,20,14,12,41,20,30,17,autogen,NOREPAIR,16,,,
507-B-bug-17316554-17316592,10,15755,2,2807,0,41,34,10,3,autogen,REPAIR,21,31,37,37
507-B-bug-17316559-17316592,10,94,20,38,18,47,42,5,0,autogen,NOREPAIR,33,,,
507-C-bug-10395815-10395870,10,61,20,7,4,71,59,14,2,autogen,NOREPAIR,1474,,,
509-A-bug-15464759-15464766,10,198,20,35,13,19,17,2,0,autogen,NOREPAIR,131,,,
509-A-bug-15912013-15912025,10,62,20,47,18,13,1,13,1,autogen,NOREPAIR,17,,,
509-A-bug-17530294-17530298,10,3086,20,18,16,19,19,2,2,autogen,NOREPAIR,16,,,
509-A-bug-18292753-18292782,10,4427,20,17,17,18,18,2,2,autogen,NOREPAIR,64,,,
509-A-bug-18292759-18292782,10,3721,20,14,14,17,17,2,2,autogen,NOREPAIR,59,,,
509-A-bug-18292773-18292782,10,2790,20,16,16,19,19,2,2,autogen,NOREPAIR,64,,,
514-A-bug-16254446-16254521,10,13507,3,680,1,47,42,7,2,autogen,REPAIR,335,37,43,43
514-A-bug-16254510-16254521,10,82,20,39,18,51,47,6,2,autogen,NOREPAIR,33,,,
514-A-bug-16469896-16470364,10,15477,5,1679,3,47,42,7,2,autogen,REPAIR,12,3,43,43
514-A-bug-16745489-16745517,10,22,20,4,4,52,21,22,0,autogen,REPAIR,19,43,43,43
514-A-bug-16862357-16862487,10,5597,20,254,16,47,42,7,2,autogen,NOREPAIR,154,,,
514-A-bug-17035949-17035964,10,23,20,18,15,46,23,26,8,autogen,REPAIR,942,43,43,43
515-A-bug-17914736-17914771,10,667,20,103,7,60,59,3,2,autogen,NOREPAIR,237,,,
515-A-bug-18219774-18219793,10,42,20,19,14,45,29,12,8,autogen,NOREPAIR,41,,,
